"","Name","Program.Identifier","Inspection.Date","Description","Address","City","Zip.Code","Phone","Longitude","Latitude","Inspection.Business.Name","Inspection.Type","Inspection.Score","Inspection.Result","Inspection.Closed.Business","Violation.Type","Violation.Description","Violation.Points","Business_ID","Inspection_Serial_Num","Violation_Record_ID","Grade"
"4502","SULTAN  GRILL","SULTAN  GRILL","6/25/18","Seating 13-50 - Risk Category III","4222 UNIVERSITY WAY NE ","Seattle",98105,"(206) 915-5404",-122.3128585,47.65899621,"SULTAN  GRILL","Routine Inspection/Field Review",15,"Unsatisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0014985","DAK249GXQ","IVJS9HEC2",2
"4503","SULTAN  GRILL","SULTAN  GRILL","6/25/18","Seating 13-50 - Risk Category III","4222 UNIVERSITY WAY NE ","Seattle",98105,"(206) 915-5404",-122.3128585,47.65899621,"SULTAN  GRILL","Routine Inspection/Field Review",15,"Unsatisfactory",FALSE,"RED","0600 - Adequate handwashing facilities",10,"PR0014985","DAK249GXQ","IVMYM1UPQ",2
"4504","THAN BROTHER'S RESTAURANT","THAN BROTHER'S RESTAURANT","6/25/18","Seating 13-50 - Risk Category III","4207 UNIVERSITY WAY NE","Seattle",98105,"(206) 782-7579",-122.3133741,47.65850969,"THAN BROTHER'S RESTAURANT","Routine Inspection/Field Review",10,"Satisfactory",FALSE,"BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0018262","DAZQOKUDK","IVRME0SH7",1
"4505","THAN BROTHER'S RESTAURANT","THAN BROTHER'S RESTAURANT","6/25/18","Seating 13-50 - Risk Category III","4207 UNIVERSITY WAY NE","Seattle",98105,"(206) 782-7579",-122.3133741,47.65850969,"THAN BROTHER'S RESTAURANT","Routine Inspection/Field Review",10,"Satisfactory",FALSE,"BLUE","4000 - Food and non-food surfaces properly used and...",5,"PR0018262","DAZQOKUDK","IV60HHFHH",1
"4506","THANH VI VIETNAMESE CUISINE","THANH VI VIETNAMESE CUISI","6/25/18","Seating 13-50 - Risk Category III","4226 UNIVERSITY WAY NE ","SEATTLE",98105,"(206) 465-6754",-122.3129638,47.65919464,"THANH VI VIETNAMESE CUISINE","Routine Inspection/Field Review",15,"Unsatisfactory",FALSE,"RED","1300 - Food contact surfaces and utensils used for raw meat thoroughly cleaned and sanitized.  no ..",15,"PR0001990","DAFHVHY5P","IVJKSRNTT",2
"4507","SEATTLE SUPER MARKET","SEATTLE SUPER MARKET -  MEAT","6/25/18","Meat/Sea Food - Risk Category III","4801 BEACON AVE S ","Seattle",98108,"(206) 767-3344",-122.3049067,47.55945746,"SEATTLE SUPER MARKET","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0007667","DAVWSPU0L","",NA
"4508","SEATTLE SUPER MARKET","SEATTLE SUPER MARKET - SEAFOOD","6/25/18","Meat/Sea Food - Risk Category III","4801 BEACON AVE S ","Seattle",98108,"(206) 767-3344",-122.3049067,47.55945746,"SEATTLE SUPER MARKET","Routine Inspection/Field Review",15,"Unsatisfactory",FALSE,"RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0031433","DAANQ09MG","IVS0X0UNG",NA
"4509","SEATTLE SUPER MARKET","SEATTLE SUPER MARKET - SEAFOOD","6/25/18","Meat/Sea Food - Risk Category III","4801 BEACON AVE S ","Seattle",98108,"(206) 767-3344",-122.3049067,47.55945746,"SEATTLE SUPER MARKET","Routine Inspection/Field Review",15,"Unsatisfactory",FALSE,"RED","0600 - Adequate handwashing facilities",10,"PR0031433","DAANQ09MG","IVNPMJB6T",NA
"4510","ELTANA","ELTANA","6/25/18","Seating 0-12 - Risk Category III","305 HARRISON ST","SEATTLE",98109,"(206) 724-0660",-122.3533545,47.62111964,"ELTANA","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0082154","DA0JEMXMA","",1
"4511","MOD SUPERFAST PIZZA","MOD SUPERFAST PIZZA","6/25/18","Seating 13-50 - Risk Category III","305 HARRISON ST #221","SEATTLE",98109,"(206) 883-4510",-122.350867,47.621417,"MOD SUPERFAST PIZZA","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0082233","DAYWNHI0N","",1
"4512","PLUM PANTRY","PLUM PANTRY","6/25/18","Seating 0-12 - Risk Category III","305 HARRISON ST","SEATTLE",98109,"(206) 724-4533",-122.3529606,47.62106883,"PLUM PANTRY","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0082440","DAENMBUHJ","",2
"4513","PREMIER MEAT PIES, LLC","PREMIER MEAT PIES, LLC","6/25/18","Seating 0-12 - Risk Category III","305 HARRISON ST ","Seattle",98109,"(206) 619-0499",-122.3514916,47.62385954,"PREMIER MEAT PIES, LLC","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0044610","DAFE8ZKLV","",1
"4514","BILLIARD HOANG/POOL HALL","BILLIARD HOANG/POOL HALL","6/25/18","Seating 13-50 - Risk Category III","3220 S HUDSON ST","Seattle",98118,"",-122.2901509,47.55730759,"BILLIARD HOANG/POOL HALL","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0017672","DAOHJUEWL","",2
"4515","LOS TINOS MEXICAN RESTAURANT","LOS TINOS MEXICAN RESTAURANT","6/25/18","Seating 13-50 - Risk Category III","7300 RAINIER AVE S","Seattle",98118,"(206) 725-8102",-122.2699103,47.53673185,"LOS TINOS MEXICAN RESTAURANT","Routine Inspection/Field Review",0,"Complete",FALSE,"","",0,"PR0043728","DAI4N6D1M","",2
"4516","MAWADDA","MAWADDA","6/25/18","Seating 13-50 - Risk Category III","4433 S GRAHAM ST ","SEATTLE",98118,"(206) 261-6831",-122.2766527,47.5457676,"MAWADDA","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0070211","DAA3Y3RBW","",2
"4517","PARADISE RESTAURANT","PARADISE RESTAURANT","6/25/18","Seating 13-50 - Risk Category III","7250 RAINIER AVE S #C","Seattle",98118,"(206) 722-6483",-122.2698883,47.53755129,"PARADISE RESTAURANT","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0040195","DAYLKKEQY","",1
"4518","AFC SUSHI @ QFC #858","AFC SUSHI @ QFC 858","6/25/18","Seating 0-12 - Risk Category III","1531 NE 145TH ST ","SEATTLE",98125,"(310) 604-3200",-122.3104993,47.73334506,"AFC SUSHI @ QFC #858","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0079802","DAZK0OYK2","",1
"4519","QFC #858","Meat","6/25/18","Meat/Sea Food - Risk Category III","1531 NE 145TH ST ","Seattle",98125,"(206) 455-3761",-122.3104993,47.73334507,"QFC #858","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0013105","DABAOMGGV","",NA
"4520","QFC #858","Seafood","6/25/18","Meat/Sea Food - Risk Category III","1531 NE 145TH ST ","Seattle",98125,"(206) 455-3761",-122.3104993,47.73334507,"QFC #858","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0026884","DAQ99FEHI","",NA
"4521","QFC #858","GROCERY","6/25/18","Grocery Store-no seating - Risk Category I","1531 NE 145TH ST ","Seattle",98125,"(206) 455-3761",-122.3104993,47.73334507,"QFC #858","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0001600","DAX78C49Z","",NA
"4522","QFC #858","QFC #858 - BAKERY","6/25/18","Bakery-no seating - Risk Category II","1531 NE 145TH ST ","Seattle",98125,"(206) 455-3761",-122.3104993,47.73334507,"QFC #858","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0079763","DAR0ZVF46","",NA
"4523","QFC #858","QFC # 858 STARBUCKS","6/25/18","Seating 0-12 - Risk Category II","1531 NE 145TH ST ","Seattle",98125,"(206) 455-3761",-122.3104993,47.73334507,"QFC #858","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0079723","DAUB0UIZS","",1
"4524","QFC #858","QFC #858 - DELI","6/25/18","Seating 0-12 - Risk Category III","1531 NE 145TH ST ","Seattle",98125,"(206) 455-3761",-122.3104993,47.73334507,"QFC #858","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0079744","DALWPYJZY","",1
"4525","MUTUAL FISH CO INC","MUTUAL FISH CO INC","6/25/18","Meat/Sea Food - Risk Category III","2335 RAINIER AVE S","Seattle",98144,"(206) 322-4368",-122.3012387,47.5819561,"MUTUAL FISH CO INC","Routine Inspection/Field Review",5,"Unsatisfactory",FALSE,"RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0007763","DA4O7EGTH","IVMF7BNOA",NA
"4526","ORIGINAL PHILLY'S","ORIGINAL PHILLYS","6/25/18","Seating 13-50 - Risk Category III","3019 M L KING JR WAY S","SEATTLE",98144,"",-122.297045,47.57622584,"ORIGINAL PHILLY'S","Routine Inspection/Field Review",10,"Unsatisfactory",FALSE,"RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0003439","DAUXPL47P","IVIWCQTOD",2
"4527","PHO-BAC","PHO-BAC","6/25/18","Seating 13-50 - Risk Category III","3300 RAINIER AVE S","SEATTLE",98144,"(206) 760-0494",-122.2944954,47.5739119,"PHO-BAC","Routine Inspection/Field Review",40,"Unsatisfactory",FALSE,"BLUE","4200 - Food-contact surfaces maintained, clean, sanitized",5,"PR0069793","DAKYBLSEJ","IVOZCDL5R",2
"4528","PHO-BAC","PHO-BAC","6/25/18","Seating 13-50 - Risk Category III","3300 RAINIER AVE S","SEATTLE",98144,"(206) 760-0494",-122.2944954,47.5739119,"PHO-BAC","Routine Inspection/Field Review",40,"Unsatisfactory",FALSE,"RED","1600 - Proper cooling procedure",25,"PR0069793","DAKYBLSEJ","IV0J9BOXT",2
"4529","PHO-BAC","PHO-BAC","6/25/18","Seating 13-50 - Risk Category III","3300 RAINIER AVE S","SEATTLE",98144,"(206) 760-0494",-122.2944954,47.5739119,"PHO-BAC","Routine Inspection/Field Review",40,"Unsatisfactory",FALSE,"RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0069793","DAKYBLSEJ","IVKB19NM0",2
"4530","STANDARD BREWING","STANDARD BREWING","6/25/18","Seating 51-150 - Risk Category III","2504 S JACKSON ST","SEATTLE",98144,"(206) 228-9797",-122.2996536,47.59949985,"STANDARD BREWING","Routine Inspection/Field Review",5,"Unsatisfactory",FALSE,"RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0086941","DAGHWVVYL","IVZ886ECR",1
"4531","WOOD SHOP BBQ","WOOD SHOP BBQ","6/25/18","Mobile Food Unit - Risk Category III","2513 S JACKSON ST","SEATTLE",98144,"(206) 234-4170",-122.3190417,47.61386322,"WOOD SHOP BBQ","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0077034","DANEZNU7K","",NA
"4532","HUA MEI","HUA MEI","6/26/18","Seating 13-50 - Risk Category III","1048 S JACKSON ST ","SEATTLE",98104,"(425) 269-0864",-122.3176927,47.59957144,"HUA MEI","Routine Inspection/Field Review",93,"Unsatisfactory",FALSE,"BLUE","2900 - Adequate equipment for temperature control",5,"PR0010843","DATFZNXCG","IV5VU01BE",3
"4533","HUA MEI","HUA MEI","6/26/18","Seating 13-50 - Risk Category III","1048 S JACKSON ST ","SEATTLE",98104,"(425) 269-0864",-122.3176927,47.59957144,"HUA MEI","Routine Inspection/Field Review",93,"Unsatisfactory",FALSE,"BLUE","4300 - Non-food contact surfaces maintained and clean",3,"PR0010843","DATFZNXCG","IVXFULUIN",3
"4534","HUA MEI","HUA MEI","6/26/18","Seating 13-50 - Risk Category III","1048 S JACKSON ST ","SEATTLE",98104,"(425) 269-0864",-122.3176927,47.59957144,"HUA MEI","Routine Inspection/Field Review",93,"Unsatisfactory",FALSE,"BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0010843","DATFZNXCG","IVKHKR04A",3
"4535","HUA MEI","HUA MEI","6/26/18","Seating 13-50 - Risk Category III","1048 S JACKSON ST ","SEATTLE",98104,"(425) 269-0864",-122.3176927,47.59957144,"HUA MEI","Routine Inspection/Field Review",93,"Unsatisfactory",FALSE,"BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0010843","DATFZNXCG","IVK0AP8Y1",3
"4536","HUA MEI","HUA MEI","6/26/18","Seating 13-50 - Risk Category III","1048 S JACKSON ST ","SEATTLE",98104,"(425) 269-0864",-122.3176927,47.59957144,"HUA MEI","Routine Inspection/Field Review",93,"Unsatisfactory",FALSE,"RED","1600 - Proper cooling procedure",25,"PR0010843","DATFZNXCG","IV41SP5C4",3
"4537","HUA MEI","HUA MEI","6/26/18","Seating 13-50 - Risk Category III","1048 S JACKSON ST ","SEATTLE",98104,"(425) 269-0864",-122.3176927,47.59957144,"HUA MEI","Routine Inspection/Field Review",93,"Unsatisfactory",FALSE,"RED","0200 - Food Worker Cards current for all food workers; new food workers trained",5,"PR0010843","DATFZNXCG","IVUSGTZXE",3
"4538","HUA MEI","HUA MEI","6/26/18","Seating 13-50 - Risk Category III","1048 S JACKSON ST ","SEATTLE",98104,"(425) 269-0864",-122.3176927,47.59957144,"HUA MEI","Routine Inspection/Field Review",93,"Unsatisfactory",FALSE,"RED","1500 - Proper handling of pooled eggs",5,"PR0010843","DATFZNXCG","IVYQPRL2J",3
"4539","HUA MEI","HUA MEI","6/26/18","Seating 13-50 - Risk Category III","1048 S JACKSON ST ","SEATTLE",98104,"(425) 269-0864",-122.3176927,47.59957144,"HUA MEI","Routine Inspection/Field Review",93,"Unsatisfactory",FALSE,"RED","1900 - No room temperature storage; proper use of time...",25,"PR0010843","DATFZNXCG","IVQI1YWAV",3
"4540","HUA MEI","HUA MEI","6/26/18","Seating 13-50 - Risk Category III","1048 S JACKSON ST ","SEATTLE",98104,"(425) 269-0864",-122.3176927,47.59957144,"HUA MEI","Routine Inspection/Field Review",93,"Unsatisfactory",FALSE,"RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0010843","DATFZNXCG","IVEPOTDB7",3
"4541","HUA MEI","HUA MEI","6/26/18","Seating 13-50 - Risk Category III","1048 S JACKSON ST ","SEATTLE",98104,"(425) 269-0864",-122.3176927,47.59957144,"HUA MEI","Routine Inspection/Field Review",93,"Unsatisfactory",FALSE,"RED","2200 - Accurate thermometer provided and used ...",5,"PR0010843","DATFZNXCG","IVOE56CTD",3
"4542","SPRIGY 1301 LLC","SPRIGY 1301 LLC","6/26/18","Seating 13-50 - Risk Category III","1301 MADISON ST","SEATTLE",98104,"(310) 413-2000",-122.3221688,47.61022868,"SPRIGY 1301 LLC","Routine Inspection/Field Review",5,"Satisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0086586","DAQZXAGW6","IV4PIWIRF",1
"4543","TAMARIND TREE","TAMARIND TREE","6/26/18","Seating 51-150 - Risk Category III","1036 S JACKSON ST A","SEATTLE",98104,"(206) 932-6963",-122.319154,47.59934956,"TAMARIND TREE","Routine Inspection/Field Review",33,"Unsatisfactory",FALSE,"BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0004257","DAVQTNF8K","IVWMJUPDF",2
"4544","TAMARIND TREE","TAMARIND TREE","6/26/18","Seating 51-150 - Risk Category III","1036 S JACKSON ST A","SEATTLE",98104,"(206) 932-6963",-122.319154,47.59934956,"TAMARIND TREE","Routine Inspection/Field Review",33,"Unsatisfactory",FALSE,"BLUE","3700 - In-use utensils properly stored",3,"PR0004257","DAVQTNF8K","IV3RUIJQ6",2
"4545","TAMARIND TREE","TAMARIND TREE","6/26/18","Seating 51-150 - Risk Category III","1036 S JACKSON ST A","SEATTLE",98104,"(206) 932-6963",-122.319154,47.59934956,"TAMARIND TREE","Routine Inspection/Field Review",33,"Unsatisfactory",FALSE,"RED","1900 - No room temperature storage; proper use of time...",25,"PR0004257","DAVQTNF8K","IVNMLXAL4",2
"4546","VIET WAH","VIET WAH - SEAFOOD","6/26/18","Meat/Sea Food - Risk Category III","1032 S JACKSON ST ","SEATTLE",98104,"(206) 329-1399",-122.3186536,47.5994583,"VIET WAH","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0026775","DABFYNERI","IVUVV28XM",NA
"4547","VIET WAH","VIET WAH - SEAFOOD","6/26/18","Meat/Sea Food - Risk Category III","1032 S JACKSON ST ","SEATTLE",98104,"(206) 329-1399",-122.3186536,47.5994583,"VIET WAH","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"RED","0200 - Food Worker Cards current for all food workers; new food workers trained",5,"PR0026775","DABFYNERI","IVKVGIZUN",NA
"4548","VIET WAH","VIET WAH - SEAFOOD","6/26/18","Meat/Sea Food - Risk Category III","1032 S JACKSON ST ","SEATTLE",98104,"(206) 329-1399",-122.3186536,47.5994583,"VIET WAH","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"RED","0600 - Adequate handwashing facilities",10,"PR0026775","DABFYNERI","IVKCMEC7M",NA
"4549","A BURGER PLACE","A BURGER PLACE","6/26/18","Seating 13-50 - Risk Category III","4234 UNIVERSITY WAY NE ","Seattle",98105,"(253) 442-3192",-122.3128521,47.65924291,"A BURGER PLACE","Routine Inspection/Field Review",40,"Unsatisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0016318","DA3UA4NWS","IVSLMUNYP",3
"4550","A BURGER PLACE","A BURGER PLACE","6/26/18","Seating 13-50 - Risk Category III","4234 UNIVERSITY WAY NE ","Seattle",98105,"(253) 442-3192",-122.3128521,47.65924291,"A BURGER PLACE","Routine Inspection/Field Review",40,"Unsatisfactory",FALSE,"BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0016318","DA3UA4NWS","IV3OSOC45",3
"4551","A BURGER PLACE","A BURGER PLACE","6/26/18","Seating 13-50 - Risk Category III","4234 UNIVERSITY WAY NE ","Seattle",98105,"(253) 442-3192",-122.3128521,47.65924291,"A BURGER PLACE","Routine Inspection/Field Review",40,"Unsatisfactory",FALSE,"RED","1400 - Raw meats below and away from ready to eat food; species separated",5,"PR0016318","DA3UA4NWS","IVJLZDRMZ",3
"4552","A BURGER PLACE","A BURGER PLACE","6/26/18","Seating 13-50 - Risk Category III","4234 UNIVERSITY WAY NE ","Seattle",98105,"(253) 442-3192",-122.3128521,47.65924291,"A BURGER PLACE","Routine Inspection/Field Review",40,"Unsatisfactory",FALSE,"RED","0400 - Hands washed as required",25,"PR0016318","DA3UA4NWS","IVX3B0MV7",3
"4553","FROGLEGS","FROGLEGS","6/26/18","Bakery-no seating - Risk Category II","2643 NE VILLAGE LN","SEATTLE",98105,"(206) 954-9094",-122.2986711,47.66220771,"FROGLEGS","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0087608","DA8XZ0NSB","",NA
"4554","PHO SHIZZLE","PHO SHIZZLE","6/26/18","Seating 13-50 - Risk Category III","4235 UNIVERSITY WAY NE","SEATTLE",98105,"(206) 226-6490",-122.3134111,47.65934701,"PHO SHIZZLE","Routine Inspection/Field Review",23,"Unsatisfactory",FALSE,"BLUE","3700 - In-use utensils properly stored",3,"PR0086406","DALLZCVIT","IVCI7OK5C",2
"4555","PHO SHIZZLE","PHO SHIZZLE","6/26/18","Seating 13-50 - Risk Category III","4235 UNIVERSITY WAY NE","SEATTLE",98105,"(206) 226-6490",-122.3134111,47.65934701,"PHO SHIZZLE","Routine Inspection/Field Review",23,"Unsatisfactory",FALSE,"RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0086406","DALLZCVIT","IV4N7NALN",2
"4556","PHO SHIZZLE","PHO SHIZZLE","6/26/18","Seating 13-50 - Risk Category III","4235 UNIVERSITY WAY NE","SEATTLE",98105,"(206) 226-6490",-122.3134111,47.65934701,"PHO SHIZZLE","Routine Inspection/Field Review",23,"Unsatisfactory",FALSE,"RED","0600 - Adequate handwashing facilities",10,"PR0086406","DALLZCVIT","IV4HTGYTF",2
"4557","RANCHO BRAVO TACOS","RANCHO BRAVO TACOS","6/26/18","Seating 13-50 - Risk Category III","4241 UNIVERSITY WAY NE","SEATTLE",98105,"(206) 790-0155",-122.3134409,47.6595998,"RANCHO BRAVO TACOS","Routine Inspection/Field Review",30,"Unsatisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0083105","DAPUU2J4V","IVNEMH1A0",2
"4558","RANCHO BRAVO TACOS","RANCHO BRAVO TACOS","6/26/18","Seating 13-50 - Risk Category III","4241 UNIVERSITY WAY NE","SEATTLE",98105,"(206) 790-0155",-122.3134409,47.6595998,"RANCHO BRAVO TACOS","Routine Inspection/Field Review",30,"Unsatisfactory",FALSE,"RED","1710 - Proper hot holding temperatures (less than130 degrees)",25,"PR0083105","DAPUU2J4V","IV788ISJD",2
"4559","THAI 65","THAI 65","6/26/18","Seating 51-150 - Risk Category III","4214-A UNIVERSITY WAY NE","Seattle",98105,"(206) 632-6542",-122.3129574,47.65855512,"THAI 65","Routine Inspection/Field Review",12,"Satisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0043279","DA99X6DQ0","IVDWUVGGG",1
"4560","THAI 65","THAI 65","6/26/18","Seating 51-150 - Risk Category III","4214-A UNIVERSITY WAY NE","Seattle",98105,"(206) 632-6542",-122.3129574,47.65855512,"THAI 65","Routine Inspection/Field Review",12,"Satisfactory",FALSE,"BLUE","4000 - Food and non-food surfaces properly used and...",5,"PR0043279","DA99X6DQ0","IVXDNIDFF",1
"4561","THAI 65","THAI 65","6/26/18","Seating 51-150 - Risk Category III","4214-A UNIVERSITY WAY NE","Seattle",98105,"(206) 632-6542",-122.3129574,47.65855512,"THAI 65","Routine Inspection/Field Review",12,"Satisfactory",FALSE,"BLUE","4900 - Adequate ventilation; lighting; designated area...",2,"PR0043279","DA99X6DQ0","IVJKWMFVT",1
"4562","NUEVO AMANECER PUPUSERIA LLC","NUEVO AMANECER PUPUSERIA LLC","6/26/18","Seating 13-50 - Risk Category III","8709 14TH AVE S","SEATTLE",98108,"(206) 712-0710",-122.3152125,47.52524782,"NUEVO AMANECER PUPUSERIA LLC","Routine Inspection/Field Review",30,"Unsatisfactory",FALSE,"BLUE","3200 - Insects, rodents, animals not present; entrance controlled.",5,"PR0029491","DAP2UAISQ","IV4VNROKJ",2
"4563","NUEVO AMANECER PUPUSERIA LLC","NUEVO AMANECER PUPUSERIA LLC","6/26/18","Seating 13-50 - Risk Category III","8709 14TH AVE S","SEATTLE",98108,"(206) 712-0710",-122.3152125,47.52524782,"NUEVO AMANECER PUPUSERIA LLC","Routine Inspection/Field Review",30,"Unsatisfactory",FALSE,"RED","1600 - Proper cooling procedure",25,"PR0029491","DAP2UAISQ","IVM0PCMOZ",2
"4564","PHO HA","PHO HA","6/26/18","Seating 13-50 - Risk Category III","6519 4TH AVE S #B","SEATTLE",98108,"(253) 852-9936",-122.329967,47.54465115,"PHO HA","Routine Inspection/Field Review",30,"Unsatisfactory",FALSE,"RED","1600 - Proper cooling procedure",25,"PR0065413","DA2OWJTUO","IV1MYGC2Q",2
"4565","PHO HA","PHO HA","6/26/18","Seating 13-50 - Risk Category III","6519 4TH AVE S #B","SEATTLE",98108,"(253) 852-9936",-122.329967,47.54465115,"PHO HA","Routine Inspection/Field Review",30,"Unsatisfactory",FALSE,"RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0065413","DA2OWJTUO","IVALJRJKL",2
"4566","PIROSHKY BAKING COMPANY","PIROSHKY BAKING COMPANY","6/26/18","Seating 0-12 - Risk Category III","309 S CLOVERDALE ST #C32","SEATTLE",98108,"(206) 764-1000",-122.331005,47.52542,"PIROSHKY BAKING COMPANY","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0082096","DAPARE0AG","",1
"4567","ARTHUR'S","ARTHUR'S","6/26/18","Seating 51-150 - Risk Category III","2311 CALIFORNIA AVE SW ","Seattle",98116,"(206) 550-0546",-122.3868072,47.58255528,"ARTHUR'S","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0003535","DAI80QBEK","",1
"4568","JACK IN THE BOX #8476","JACK IN THE BOX #8476","6/26/18","Seating 13-50 - Risk Category III","4203 SW ADMIRAL WAY ","SEATTLE",98116,"(619) 600-5601",-122.3856345,47.58099941,"JACK IN THE BOX #8476","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0002930","DA2SY7NIY","",1
"4569","KIZUKI","KIZUKI","6/26/18","Seating 51-150 - Risk Category III","4203 SW ALASKA ST","SEATTLE",98116,"(425) 395-4570",-122.3858042,47.56091698,"KIZUKI","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0085864","DAQ4HAAI1","",2
"4570","PEPPERDOCK RESTAURANT","PEPPERDOCK RESTAURANT","6/26/18","Seating 13-50 - Risk Category III","2618 ALKI AVE SW ","Seattle",98116,"",-122.4071697,47.58021082,"PEPPERDOCK RESTAURANT","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0003466","DA90L9D1N","",1
"4571","SAHRA INT MARKET","SAHRA INT MARKET","6/26/18","Seating 13-50 - Risk Category III","7126 M L KING JR WAY S ","SEATTLE",98118,"(206) 417-8456",-122.2810555,47.53817847,"SAHRA INT MARKET","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0065388","DAKQQ6YAN","",3
"4572","ARADA CENTER","ARADA CENTER","6/26/18","Seating 0-12 - Risk Category III","452 12TH AVE","SEATTLE",98122,"",-122.31655,47.60567488,"ARADA CENTER","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0046630","DA60U9NR2","",2
"4573","KATSU BURGER & BAR","KATSU BURGER & BAR","6/26/18","Seating 51-150 - Risk Category III","1410 12TH AVE","SEATTLE",98122,"(206) 841-8129",-122.3165915,47.61341328,"KATSU BURGER & BAR","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0083260","DAHI7L0NK","",2
"4574","DYNASTY ROOM","DYNASTY ROOM","6/27/18","Seating 151-250 - Risk Category III","714 S KING ST ","Seattle",98104,"(206) 931-3994",-122.3229718,47.59861763,"DYNASTY ROOM","Routine Inspection/Field Review",10,"Satisfactory",FALSE,"BLUE","4500 - Sewage, waste water properly disposed",5,"PR0002814","DA8YOJCT6","IVNAZOWM1",2
"4575","DYNASTY ROOM","DYNASTY ROOM","6/27/18","Seating 151-250 - Risk Category III","714 S KING ST ","Seattle",98104,"(206) 931-3994",-122.3229718,47.59861763,"DYNASTY ROOM","Routine Inspection/Field Review",10,"Satisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0002814","DA8YOJCT6","IVHHFIJZF",2
"4576","NASAI TERIYAKI","NASAI TERIYAKI","6/27/18","Seating 13-50 - Risk Category III","4305 1/2 UNIVERSITY WAY NE ","SEATTLE",98105,"(206) 455-3450",-122.3134099,47.65987026,"NASAI TERIYAKI","Routine Inspection/Field Review",15,"Unsatisfactory",FALSE,"BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0001655","DACLBNMT6","IV4IAN72B",1
"4577","NASAI TERIYAKI","NASAI TERIYAKI","6/27/18","Seating 13-50 - Risk Category III","4305 1/2 UNIVERSITY WAY NE ","SEATTLE",98105,"(206) 455-3450",-122.3134099,47.65987026,"NASAI TERIYAKI","Routine Inspection/Field Review",15,"Unsatisfactory",FALSE,"RED","0600 - Adequate handwashing facilities",10,"PR0001655","DACLBNMT6","IVNKOCU9R",1
